[ 2020-04-14 15:41:54 ] 读取缓存失败, redis: nil
[ 2020-04-14 15:41:54 ] 写入缓存失败, redis: client is closed
[ 2020-04-14 15:42:17 ] 读取缓存失败, redis: nil
[ 2020-04-14 15:42:17 ] 写入缓存失败, redis: client is closed
[ 2020-04-14 15:45:47 ] 读取缓存失败, redis: client is closed
[ 2020-04-14 15:45:47 ] 写入缓存失败, redis: client is closed
[ 2020-04-14 15:47:37 ] 读取缓存失败, redis: nil
[ 2020-04-14 15:47:37 ] 写入缓存失败, redis: client is closed
[ 2020-04-14 15:48:36 ] 读取缓存失败, redis: nil
[ 2020-04-14 15:48:36 ] 写入缓存失败, redis: client is closed
[ 2020-04-14 15:49:58 ] 读取缓存失败, redis: nil
[ 2020-04-14 15:49:58 ] 写入缓存失败, redis: client is closed
[ 2020-04-14 15:51:48 ] 读取缓存失败, redis: nil
[ 2020-04-14 15:51:48 ] 写入缓存失败, redis: client is closed
[ 2020-04-14 15:53:21 ] 获取阅读量失败, redis: nil
[ 2020-04-14 15:53:21 ] 添加阅读量失败, redis: client is closed
[ 2020-04-14 15:56:04 ] 获取阅读量失败, redis: nil
[ 2020-04-14 15:56:04 ] 添加阅读量失败, redis: client is closed
[ 2020-04-14 15:59:16 ] 获取阅读量失败, redis: nil
[ 2020-04-14 15:59:16 ] 添加阅读量失败, redis: client is closed
[ 2020-04-14 16:06:37 ] 获取阅读量失败, redis: nil
[ 2020-04-14 16:06:37 ] 添加阅读量失败, redis: client is closed
[ 2020-04-14 16:11:11 ] 获取阅读量失败, redis: nil
[ 2020-04-14 16:11:11 ] 添加阅读量失败, redis: client is closed
[ 2020-04-14 16:12:01 ] 获取阅读量失败, redis: nil
[ 2020-04-14 16:12:01 ] 添加阅读量失败, redis: client is closed
[ 2020-04-14 16:14:13 ] 获取阅读量失败, redis: client is closed
[ 2020-04-14 16:14:13 ] 添加阅读量失败, redis: client is closed
[ 2020-04-14 16:14:43 ] 获取阅读量失败, redis: client is closed
[ 2020-04-14 16:14:43 ] 添加阅读量失败, redis: client is closed
[ 2020-04-14 16:15:45 ] 获取阅读量失败, redis: nil
[ 2020-04-14 16:15:45 ] 添加阅读量失败, redis: client is closed
[ 2020-04-14 16:16:07 ] 获取阅读量失败, redis: client is closed
[ 2020-04-14 16:16:07 ] 添加阅读量失败, redis: client is closed
[ 2020-04-14 16:18:04 ] 获取阅读量失败, redis: client is closed
[ 2020-04-14 16:18:04 ] 添加阅读量失败, redis: client is closed
[ 2020-04-14 16:18:14 ] 读取缓存失败, redis: client is closed
[ 2020-04-14 16:18:14 ] 写入缓存失败, redis: client is closed
[ 2020-04-14 16:18:16 ] 获取阅读量失败, redis: client is closed
[ 2020-04-14 16:18:16 ] 添加阅读量失败, redis: client is closed
[ 2020-04-14 16:19:46 ] 获取阅读量失败, redis: client is closed
[ 2020-04-14 16:19:46 ] 添加阅读量失败, redis: client is closed
[ 2020-04-14 16:19:52 ] 获取阅读量失败, redis: client is closed
[ 2020-04-14 16:19:52 ] 添加阅读量失败, redis: client is closed
[ 2020-04-14 16:20:13 ] 获取阅读量失败, redis: client is closed
[ 2020-04-14 16:20:13 ] 添加阅读量失败, redis: client is closed
[ 2020-04-14 16:20:18 ] 获取阅读量失败, redis: client is closed
[ 2020-04-14 16:20:18 ] 添加阅读量失败, redis: client is closed
[ 2020-04-14 16:20:22 ] 获取阅读量失败, redis: client is closed
[ 2020-04-14 16:20:22 ] 添加阅读量失败, redis: client is closed
[ 2020-04-14 16:23:07 ] 获取阅读量失败, redis: client is closed
[ 2020-04-14 16:23:07 ] 添加阅读量失败, redis: client is closed
[ 2020-04-14 16:23:10 ] 获取阅读量失败, redis: client is closed
[ 2020-04-14 16:23:10 ] 添加阅读量失败, redis: client is closed
[ 2020-04-14 16:24:31 ] 获取阅读量失败, redis: client is closed
[ 2020-04-14 16:24:31 ] 添加阅读量失败, redis: client is closed
[ 2020-04-14 16:24:34 ] 获取阅读量失败, redis: client is closed
[ 2020-04-14 16:24:34 ] 添加阅读量失败, redis: client is closed
[ 2020-04-14 16:24:48 ] 获取阅读量失败, redis: client is closed
[ 2020-04-14 16:24:48 ] 添加阅读量失败, redis: client is closed
[ 2020-04-14 16:25:04 ] 获取阅读量失败, redis: client is closed
